Index,Title,Description,University,Course Cycle
2,Management and Management Information Systems,"Enterprise and management functions. Business planning and strategy. Definition of the business vision, mission, goals and strategy. SWOT analysis. Models of competitive forces and strategies for competitive advantage. Ethical and social responsibility in management. Enterprise organisation and organisational behaviour. Formal and informal organisational dimensions. Technological factors and flexible organisation. Methods and tools for human resources management. Marketing, marketing strategy, market segmentation, marketing / sales plan and the marketing mix. Entrepreneurship: the role of entrepreneurship in the modern economic framework, development of a business idea, starting a business activity, access to resources, elements of a business plan, business opportunities and obstacles. Leadership. Control and quality management. Operations management. Traditional and new tools for quality management, change management and innovation. Case studies.",NTUA,Business Management & Information Systems
3,Management and Decision Support Systems,"Decision making: Decision support models and their use in decision making; Elements and structure of a decision problem; Decision Trees: Decision Matrices The Bayes, Maximin, Maximax and Hurwitz criteria; Problem-solving with sampling information about the states of nature; Values of sampling and complete information. Dynamic programming: Characteristics of a dynamic programming problem; Examples of multi-stage decisions; Schematic representation of multi-stage decision making problems; Linear programming: Characteristics of a linear programming problem; Modeling mathematically a linear programming problem; Possible solutions to linear programming problems; The graphical solution method; The Simplex algorithm; The dual problem; Sensitivity analysis; Simulation: Special features and schematic presentation of simulation; Generation of random observations through probability distribution functions; Time increment techniques; Simulation languages; Laboratory exercises using appropriate software.",NTUA,Business Management & Information Systems
4,Mathematical Programming Models,"Introduction to mathematical modeling and operations research. Categories of mathematical programming models. Linear programming and extensions. Decomposition, goal programming, parametric programming, duality theory and sensitivity analysis. Network programming and algorithms. Integer and mixed programming. Exercises and applications in GAMS (www.gams.com). Exercise for electricity system operation and capacity expansion.",NTUA,Programming Languages & Web Technologies
5,Production and Operations Management,"Introduction to Production Management: Production systems. Management of production systems. Production planning. Historical Development of production and operations management.-- Goods and Services: Definitions, analysis and discrimination. Modern targets, trends and perspectives. The strategic planning concept. Strategies of production and service supply systems. The challenge of competition. Productivity. Product Design: Design levels and the design process. Product life-cycle. Learning curve. Design and technology. Capacity Planning: The problem of capacity. Capacity planning process. Waiting line (queuing) systems. Management and optimization of waiting line (queuing) systems. Facility design: Job Design & Work Measurement. Facility location. Facility layout planning. Maintenance and Quality Control. Reliability of technical systems. Preventive maintenance. Quality control. Sampling methods. Inventory Management: Inventory systems models. Uncertainty in inventory systems. Cost elements. Supply chain management. Kanban / Just in Time (JIT) systems. Production and material planning. Master production schedule (MPS). Capacity requirements planning (CRP). Material requirements planning (MRP). MRPII systems. ERP systems. Production and Operations Scheduling: Definitions. Objectives. Dispatching rules and techniques. n-job in m-machine problems. Flow-Shop scheduling. Job-Shop scheduling. Service delivery scheduling.",NTUA,Business Management & Information Systems
6,Financial Management Systems,"The aim of this course is to provide students with the necessary knowledge background related to the financial management of modern enterprises. The main topics analyzed in this course are the following. Financial accounting: Basic principles, financial statements, accounts and accounting events registration. Financial analysis: Evaluation of the financial performance of enterprises, analysis of accounting statements via financial ratios. Cost accounting & Budgeting: Basic principles and main techniques for cost accounting and budgeting. Financial decisions: Financing decisions and methods for economic evaluation of investments. Laboratory exercise is provided on the evaluation of the financial operation of real enterprises.",NTUA,Business Management & Information Systems
7,Operating Systems,"This course covers the general principles of Operating Systems. Evolution of Operating Systems, Input/Output, concurrent processes, critical section, process synchronization and communication. CPU scheduling. Memory management (static and dynamic allocation, virtual memory, paging, segmentation). File management, disk scheduling, deadlocks.",NTUA,Operating Systems
8,Human- Computer Interaction,"The course deals with the design, development and evaluation methodologies of computer systems that interact with users to a significant degree. The purpose is to review theoretical models, technologies, methods and tools for the design and development of interactive computing systems. The course includes (1) Human modeling of computer system and conceptual interaction framework, (2) Cognitive models, perception and representation, attention and memory representation and organization of knowledge(3) Interactive Systems Design Methodologies: Human-centric Design, Usability Requirements, Task Analysis, GOMS Models, Dialogue Methods, Interface Design, Usability and Accessibility of Internet Services, Interactive Systems Evaluation Techniques, (4) Overview of Interactive Technologies and Applications: Distributed Intelligence Systems, Ubiquitous Computer, Augmented Reality Systems, Synthetic Animation, Accessibility Interface Systems, Collaboration Applications.",NTUA,Computer Interaction and Vision Theory
17,Multimedia Technology,"Introduction to multimedia. Types of multimedia messages. Multimedia environments. Digital conversion of multimedia data. Multimedia applications programming. Integrated multimedia systems. Specifications, design and implementation of multimedia web applications. Specific requirements for multimedia systems on the Internet. The laboratory exercises of the course are conducted in a java environment in order to meet the requirements of both local and web applications.",NTUA,Multimedia Structures
18,Operating Systems Laboratory,"This course offers laboratory projects to assimilate critical concepts from the previous courses ""Computer Architecture"" and ""Operating Systems"". The course includes 3-4 exercises in distributed UNIX programming, development of device drivers, kernel-level programming, and extensions of the Linux OS.",NTUA,Operating Systems
9,Forecasting Techniques,"The course describes the latest forecasting techniques, both statistical and non-statistical ones, in order the students to be able to understand and implement a forecasting procedure. The main objects of the course are the statistical analysis and extrapolation of time series: Basic statistical concepts, Time series analysis, Time series characteristics, Decomposition, Forecasting methods, Forecasting performance evaluation and monitoring, Special events and treatment methods, Smoothing methods (moving averages), Exponential smoothing methods (Single, Holt, Winters, Damped), Regression models (simple and multiple regression), ARIMA models, Theta (θ) method, Long term predictions, Judgmental forecasting, Forecasting competitions, Hierarchical forecasting (bottom-up/top-down). The course focuses also on the use of IT systems to familiarize students with the exploitation of forecasting techniques in practice, the comparative evaluation of alternative techniques and their implementation in businesses. The ultimate goal is students to acquire both theoretical and practical knowledge in business forecasting techniques. In this respect, the course includes both theoretical lessons and practical training through electronic online games and interactive quizzes.",NTUA,Predictive Analytics
10,Management of the Digital Enterprise,"The course covers a wide range of technical and managerial topics regarding e-commerce and e-government. The course examines topics lile: e-business models and mechanisms; customer interface design; internet promotion methods and computational advertising algorithms; online search types and functional description of search engines; recommender system techniques and algorithms; business process modelling and management; Enterprise Resource planning (ERP) Systems architectures and their critical success factors; Customer Relationship Management (CRM) Systems; knowledge management approaches, systems and architectures; mobile commerce technologies and applications; e-government, e-democracy and e-participation concepts and frameworks; Web 2.0 and collective intelligence: approaches and mechanisms.",NTUA,Digital Management
11,Multiple Criteria Decision Making,"The main objective of the Μultiple Criteria Decision Analysis (MCDA) is to support decision making in real life complex problems, with conflicting interests and goals, i.e. the “multiple criteria”. The basic feature of MCDA is the appropriate aggregation of different views and dimensions, taking into consideration the necessary preferences and values of the decision makers. Within this course, the overall philosophy and the methodological framework of the MCDA are outlined and the most important quantitative methods, namely the multiple criteria mathematical programming, the multi-attribute utility theory, the outranking methods and the disaggregation methods are presented in detail. Moreover, representative methods and models that can adequately capture and process the qualitative characteristics of the performance of efficient solutions in the problem criteria are also analyzed and practical application examples of MCDA from the fields of technology, management, economy and energy are presented as well.",NTUA,Decision Support Systems
12,Management Game,"The scope of the course is to offer to the students a realistic picture of different real-world problems related to fields of the management science. This is achieved by utilizing a management simulation game where the students are called to apply selected management practices. Students, divided into teams of 4 to 5, are called to manage a global company operating in the computer industry sector. All participating students are assigned specific roles linked to the major management operations of the company (General Management, Sales, Marketing, Production, Finance). In this framework the student teams are called to develop and then to apply a complete business plan for their companies and to take decisions regarding different operations. Through this process they get a good understanding regarding the ways that different company operations are interrelated and, at the same time, how the decision making processes get affected by competitors’ moves or by changes in the external environment. The lectures provided in the framework of the course cover major strategic management and business planning topics, as well as specific subjects related to managing main company operations. Each lecture is complemented with presentations of relevant case studies based on real, well-known, enterprises and organizations.",NTUA,Business Management & Information Systems
13,Project Management,"This course focuses on strategies and tools useful in the management of non-repetitive business activities. Tools introduced during the course include work breakdown structure, network representation, PERT/CPM models and analysis, Gantt charts, time and cost models, resource scheduling and optimisation, project management software, and probabilistic analysis. Strategy considerations covered include dealing with uncertainty, resource constraints, dealing with shared and requested vs. dedicated and commanded resources, and milestone management. Students take a case study approach through the essentials of a four-phase project planning process, learn about the unique challenges at each stage and see how a project manager’s mastery of essential knowledge increases the likelihood of project success.",NTUA,Business Management & Information Systems
14,Digital Systems Laboratory,"Signal processing in digital communication systems. Filtering and amplification of digital signals. Frequency conversion. Multilevel modulation. Amplitude/phase modulation schemes. Frequency modulation schemes. Pulse shaping. Raised cosine pulses. Error performance of multilevel modulation schemes in AWGN channels. Fading. Adaptive transmission. Power control. Diversity protection. Theory and technologies of switching systems including internet routers, optical switches, wireless switches, packet and circuit switches. Packet scheduling algorithms, multicast copy techniques, call splitting. Classification of switching architectures, space and time division switching, buffering techniques and performance. Input-buffered switches, crossbar, shared memory switches, Banyan, sorting networks, Knockout. Optical switches, optical CDMA, high speed TDM, wavelength division switches. Scheduling algorithms (PIM, iRRM, iSLIP, DRRM). Internet switching, IP route lookup algorithms, buffer management techniques. Wireless switches, mobility support. Examples of switching technologies",NTUA,Microprocessors
15,"Microprocessor Systems
","Introduction to Microprocessor Technology and Architecture. Microcomputer Based Systems - Embedded Systems. 8085 Microprocessor Description and Commands. Memory Systems and Technology - Memory Reference Modes. Microprocessor Programming in Assembly Language - Macros and Routines. Techniques for data input/ output. Interrupt Systems and Direct Memory Access. Description of 80x86 Microprocessors, along with all of their commands. Architecture and Programming of AVR and PIC Microcontrollers in Assembly and C Language. Microcontroller  Applications. Introduction to RISC Processors and the ARM Processors.",NTUA,Microprocessors
16,Microprocessors Laboratory,The course includes laboratory exercises on the following topics: 8085 and 80x86 microprocessor assembly programming. Data input/output procedures. Interrupts. Connection of microprocessors to external units and devices. Automation using microprocessors. Programming of microcontrollers. Microcontroller applications.,NTUA,Microprocessors
148,Cloud Tech 2: Green DevOps & Scalable Architecture,"Covers scalable architecture, auto-scaling, serverless design, and CI/CD with green metrics to reduce carbon footprint and maximize efficiency.",NTUA,Green Cloud Technologies & DevOps
19,Advanced Topics in Computer Architecture,"Instruction Set Architectures. Organizing advanced processors: control unit and datapath, pipeline architectures, memory hierarchy organization (cache memories, virtual address translation, TLB), multistage pipeline with variable latency, branch prediction, VLIW, ILP, super scalar pipelines, dynamic command routing (out-of-order- OOO). Examples of modern processors. Hyperthreading, multicoreCMP architectures, SMT architectures.",NTUA,Distributed Systems
20,Computer System Performance,"Main approaches for modelling and analysis of computer system performance: analytical models, simulation and empirical techniques. Introduction to queueing theory, queueing networks (general product-form networks, convolution algorithms, mean value analysis), techniques based on queueing networks (operational laws, bounds, hierarchical decomposition, load-independent and load-dependent service models, non-product-form networks, exact and approximate solution algorithms, analysis of specific systems), discrete event simulation (random number generation, program construction, transient removal, statistical analysis of simulation results), measurement techniques and tools (workload, benchmarking, monitoring and capacity planning, design and analysis of experiments). Applications to the performance analysis of various computer systems with emphasison currently established paradigms (client/server, intranets και Internet, Web services etc.).",NTUA,Computer Interaction and Vision Theory
21,Digital VLSI Systems,Implementation of VLSI circuits for arithmetic operations. Implementation of digital filters. Circuits based on special numerical systems for high speed applications. VLSI design tools. Circuit Description Languages for automated Design. Design and implementation of digital systems.,NTUA,VLSI
22,Image and Video Analysis and Technology,"The course includes theoretical analysis and preparation of laboratory exercises in the field of processing, analyzing, managing, transmitting, accessing and retrieving both digital images and digital video, which is the most complex structure in modern multimedia systems. Theoretical analysis includes the analysis of image and video characteristics, the digitization process (sampling, quantization), image transformations, the encoding and transmission techniques of still and moving images, the analysis of images and video with the application of non linear filters, in order to extract attributes and categorize them. In the laboratory exercises, image and video encoding, compression, analysis and management systems are detailed, with emphasis on JPEG, JPEG2000, MPEG1, MPEG2, MPEG4, MPEG7, MPEG21, and modern Web applications in multimedia systems utilizing the XML structure.",NTUA,Image and Video Processing
23,Distributed Systems,"Synchronization: Natural, logical and vector clocks, natural and logical clock synchronization, Lamport's algorithm. Distributed Coordination: Mutual Exclusion Algorithms, Election Algorithms, Distributed Agreement, Interactive Consistency, Byzantine Protocols, Distributed Consensus Algorithm Paxos. Tasks and concurrency control: ACID properties, embedded transactions, strict two-phase locking, concurrent problems, timer layout, optimistic concurrency control. Distributed Transactions and Timing Control: Distributed Individual Transactions, Distributed Timing Control, Deadlock Detection, Error Recovery. Data Backup: Error Tolerance, Primary / Secondary Backup, Passive / Active Backup, Network Partition Management, High Availability, Consistency Levels, CAP Theorem. Peer-to-peer networks, distributed hash tables, distributed storage systems, Map Reduce and Bulk Synchronous Parallel distributed processing models.",NTUA,Distributed Systems
24,Embedded System Design,"Embedded Systems Description Models: Computational Models, High-Level Programming Languages. Program / Application Design and Analysis: Program Models, High Level Transformations, Translators for Embedded Systems, Program Optimization. Embedded Systems Material: Multiprocessor Architecture (MPSOC), Processing Units, Interconnection Networks and Topologies, Memory Hierarchies, Memory Management Units. Embedded Systems Software: Embedded Real-Time Operating Systems, timing in real-time systems. Embedded Systems Implementation - Hardware and Software Co-design: Design Platforms, Hardware and Software Segmentation, Performance Analysis, Hardware and Software Co-synthesis Algorithms. Verification: Hybrid Systems Verification, Simulation, Testing, Error Simulation, Risk Analysis, Reliability.",NTUA,Embedded and Control Systems
