Job Title,Field,Location,Description,Email
Green IT Consultant,Information Technology,"Dublin, Ireland","Responsibilities: Develop green algorithms and smart applications for sustainable systems in Dublin, Ireland. Skills Required: ISO 50001, Carbon Accounting, C++, Java, LEED. Preferred Qualifications: Knowledge of renewable energy systems, M.S. or Ph.D. in relevant field.",info@windsphere406.com
Carbon Footprint Data Scientist,Environmental Engineering,"Munich, Germany","Responsibilities: Implement IoT and AI-driven energy solutions in smart buildings and cities around Munich, Germany. Skills Required: R, Python, Cloud Infrastructure, ESG Frameworks, Energy Modeling. Preferred Qualifications: Cloud sustainability knowledge, CEM Certification.",info@greenfuturetech.com
Sustainable Systems Engineer,Information Technology,"Milan, Italy","Responsibilities: Collaborate on carbon reduction strategies and lifecycle analysis projects based in Milan, Italy. Skills Required: Java, MATLAB, Power Electronics, Smart Grid Technology, Python. Preferred Qualifications: Experience in smart city projects, CEM Certification.",info@ecogenix892747.com
Green Cloud Architect,Electrical Engineering,"Zurich, Switzerland","Responsibilities: Develop green algorithms and smart applications for sustainable systems in Zurich, Switzerland. Skills Required: IoT, C++, Cloud Infrastructure, ESG Frameworks, R. Preferred Qualifications: LEED Certification, M.S. or Ph.D. in relevant field.",info@ecovision257514.com
Energy Efficiency Data Analyst,Computer Science,"Vienna, Austria","Responsibilities: Collaborate on carbon reduction strategies and lifecycle analysis projects based in Vienna, Austria. Skills Required: Python, Embedded Systems, C++, ISO 50001, Smart Grid Technology. Preferred Qualifications: Experience with green computing, M.S. or Ph.D. in relevant field.",info@ecogenix545280.com
IoT Sustainability Specialist,Computer Science,"Stockholm, Sweden","Responsibilities: Analyze and optimize energy usage using data science tools in Stockholm, Sweden. Skills Required: Carbon Accounting, Machine Learning, SQL, Python, Smart Grid Technology. Preferred Qualifications: Experience with green computing, M.S. or Ph.D. in relevant field.",info@carbonnet403.com
IoT Sustainability Specialist,Sustainable Energy,"Munich, Germany","Responsibilities: Implement IoT and AI-driven energy solutions in smart buildings and cities around Munich, Germany. Skills Required: IoT, Machine Learning, ISO 50001, MATLAB, C++. Preferred Qualifications: Carbon-aware computing expertise, Knowledge of renewable energy systems.",info@ecosolutions30478669482.com
Renewable Systems Integration Analyst,Sustainable Energy,"Warsaw, Poland","Responsibilities: Collaborate on carbon reduction strategies and lifecycle analysis projects based in Warsaw, Poland. Skills Required: Machine Learning, Cloud Infrastructure, Python, SQL, LCA. Preferred Qualifications: M.S. or Ph.D. in relevant field, Experience with green computing.",info@ecovision2576147446711.com
Green IT Consultant,Electrical Engineering,"Stockholm, Sweden","Responsibilities: Implement IoT and AI-driven energy solutions in smart buildings and cities around Stockholm, Sweden. Skills Required: Power Electronics, MATLAB, Python, Machine Learning, Java. Preferred Qualifications: Carbon-aware computing expertise, Experience in smart city projects.",info@ecogenix545507.com
Smart Grid Engineer,Environmental Engineering,"Barcelona, Spain","Responsibilities: Implement IoT and AI-driven energy solutions in smart buildings and cities around Barcelona, Spain. Skills Required: MATLAB, SQL, ESG Frameworks, Carbon Accounting, C++. Preferred Qualifications: Experience with green computing, Experience in smart city projects.",info@renewablelogic643887.com
Sustainable Systems Engineer,Environmental Engineering,"Milan, Italy","Responsibilities: Implement IoT and AI-driven energy solutions in smart buildings and cities around Milan, Italy. Skills Required: C++, MATLAB, Python, LEED, Energy Modeling. Preferred Qualifications: Carbon-aware computing expertise, Knowledge of renewable energy systems.",info@carbonnet414138.com
Green Cloud Architect,Electrical Engineering,"Copenhagen, Denmark","Responsibilities: Design and implement energy-efficient Electrical Engineering solutions in Copenhagen, Denmark. Skills Required: Cloud Infrastructure, Machine Learning, Embedded Systems, ISO 50001, C++. Preferred Qualifications: LEED Certification, Carbon-aware computing expertise.",info@verdanttech954.com
AI for Energy Optimization Engineer,Environmental Engineering,"Oslo, Norway","Responsibilities: Implement IoT and AI-driven energy solutions in smart buildings and cities around Oslo, Norway. Skills Required: Energy Modeling, ISO 50001, Smart Grid Technology, LEED, Power Electronics. Preferred Qualifications: Carbon-aware computing expertise, Knowledge of renewable energy systems.",info@renewablelogic643220.com
Sustainable Systems Engineer,Sustainable Energy,"Berlin, Germany","Responsibilities: Implement IoT and AI-driven energy solutions in smart buildings and cities around Berlin, Germany. Skills Required: LEED, Embedded Systems, Carbon Accounting, Energy Modeling, MATLAB. Preferred Qualifications: Carbon-aware computing expertise, Knowledge of renewable energy systems.",info@cleanvolt112.com
Energy Efficiency Data Analyst,Information Technology,"Zurich, Switzerland","Responsibilities: Analyze and optimize energy usage using data science tools in Zurich, Switzerland. Skills Required: Embedded Systems, ISO 50001, Carbon Accounting, Power Electronics, MATLAB. Preferred Qualifications: CEM Certification, Cloud sustainability knowledge.",info@greenfuturetech849.com
Energy Efficiency Data Analyst,Sustainable Energy,"Vienna, Austria","Responsibilities: Design and implement energy-efficient Sustainable Energy solutions in Vienna, Austria. Skills Required: C++, Cloud Infrastructure, LEED, MATLAB, ISO 50001. Preferred Qualifications: Knowledge of renewable energy systems, Experience with green computing.",info@carbonnet403948.com
