1	management_and_dss	Management and Decision Support Systems	O
2	computer_systems	Computer Systems	Y
3	computer_software	Computer Software	L
4	telecommunication_systems_computer_networks	Telecommunication Systems and Computer Networks	D
5	electromagnetic_waves_and_telecommunication	Electromagnetic Waves and Telecommunication	T
6	bioengineering	Bioengineering	I
7	electric_power_systems	Electric Power Systems	E
8	signals_automatic_control_robotics	Signals, Automatic Control and Robotics	S
9	electronics_circuits_materials	Electronics, Circuits, Materials	H
10	energy_conversion_high_voltages_industry_applications	Energy Conversion, High Voltages and Industry Applications	Z
