1	Pantelis	Capros	professor
2	Dimitrios	Askounis	professor
3	Ioanna	Makarouni	t & r associate
4	Dimitrios	Panopoulos	t & r associate
7	Maria	Flouri	t & r associate
8	Vassilis	Assimakopoulos	professor
9	Gregoris	Mentzas	professor
10	Xenia	Papadomichelaki	t & r associate
6	John 	Psarras	professor
5	Haris	Doukas	associate professor
11	Elias	Koukoutsis	associate professor
12	Konstantinos	Papaodyssefs	professor
13	"Ioannis
"	Panagodimos	t & r associate
14	Dimitrios	Soudris	professor
15	Georgios	Goumas	associate professor
16	Nectarios	Koziris	professor
17	Panayiotis	Tsanakas	professor
18	Stefanos	Kollias	professor
19	Andreas-Georgios	Stafylopatis	professor
20	Georgios	Alexandridis	t & r associate
21	Georgios	Siolas	t & r associate
22	Paraskevi	Tzouveli	t & r associate
23	Emmanouel	Varvarigos	professor
24	Dionisios	Pnevmatikatos	professor
25	Giorgos	Stamou	associate professor
26	Vassiliki (Verena)	Kantere	associate professor
27	Nikolaos	Papaspyrou	professor
28	Kostis	Sagonas	associate professor
29	Petros	Potikas	t & r associate
30	Dimitris	Fotakis	associate professor
31	Theodora	Souliou	t & r associate
32	Vassilios	Veskoukis	t & r associate
33	Konstantinos	Saidis	t & r associate
34	Aris	Pagourtzis	associate professor
35	Stathis	Zachos	professor
36	Petros	Potikas	t & r associate
37	Theodora	Varvarigou	professor
38	Konstantinos	Tzamaloukas	t & r associate
39	Nikolaos	Mitrou	professor
40	Peristera	Baziana 	t & r associate
41	Maria	Grammatikou	t & r associate
42	Konstantina	Sakka	t & r associate
43	Symeon	Papavassiliou	professor
44	Theodoros	Karounos	t & r associate
45	Efstathios	Sykas	professor
46	Miltiades	Anagnostou	professor
47	Ioanna	Roussaki	associate professor
48	Iakovos	Venieris	professor
49	Hercules	Avramopoulos	professor
53	Dimitra	Kaklamani	professor
54	Konstantina	Nikita	professor
55	Nikolaos	Uzunoglou	professor
56	Sofia	Kapellaki	t & r associate
52	John	Tsalamengas	professor
51	John	Roumeliotis	professor
50	Vassilios	Kariotis	t & r associate
57	Panagiotis	Cottis	professor
58	Elias	Glytsis	professor
59	Christos	Capsalis	professor
60	George	Fikioris	professor
61	Kyriakos	Hizanidis	professor
62	Ioannis	Kominis	associate professor
63	Athanasios	Panagopoulos	associate professor
65	Konstantinos	Politopoulos	associate professor
66	Eleni	Alexandratou	t & r associate
64	Panayiotis	Frangos	professor
67	George	Matsopoulos	professor
68	Konstantia	Zarkogianni	t & r associate
69	Dimitrios	Koutsouris	professor
70	Ourania	Petropoulou	t & r associate
71	Ioannis	Gonos	associate professor
72	Ekaterinh	Polykrati	t & r associate
73	Nektarios	Moraitis	t & r associate
74	"Irini
"	Koronaki	associate professor
75	Emmanouil	Rogdakis	t & r associate
76	Pavlos	Georgilakis	associate professor
77	Constantine	Vournas	professor
78	Nikolaos	Hatziargyriou	professor
79	Nikolaos	Kimoulakis	t & r associate
80	George	Korres	professor
81	George	Tsourakis	t & r associate
82	Stavros	Papathanassiou	professor
83	Haralambos	Psilakis	lecturer
84	Argyris	Soldatos	t & r associate
85	Petros	Maragos	professor
86	Nikolaos	Theodorou	professor
87	Panagiotis	Tsarabaris	associate professor
88	Costas	Tzafestas	associate professor
89	Alexandros	Potamianos	associate professor
90	George	Stassinopoulos	professor
91	George	Papavasilopoulos	professor
92	Yannis	Papananos	professor
93	Nikolaos	Voudoukis	t & r associate
94	John	Xanthakis	professor
95	Paul	Sotiriadis	associate professor
96	Nikolaos	Maratos	professor
97	Evangelos	Hristoforou	professor
98	Dimitrios	Tsoukalas	professor
99	Konstantinos	Dervos	professor
100	Theodoros-Georgios	Argyropoulos 	t & r asocciates
101	"Antonios
"	Kladas	professor
102	Panagiotis	Rovolis	t & r associate
103	Frangiskos	Topalis	professor
104	Grigorios	Kyriakopoulos	t & r asocciates
105	Antonios	Antonopoulos	associate professor
106	Nikoleta	Ilia	t & r asocciates
107	Maria	Ioannides	professor
108	Ioannis	Stathopoulos	professor
109	Vassiliki	Kontargyri	t & r associate
